570	1500	[[1005, 1275]]
4740	6570	[]
7320	8220	[[7440, 7800]]
9120	10830	[[9570, 10005], [10290, 10440]]
11595	12900	[]
13080	14160	[]
14325	15240	[]
15390	16995	[]
17100	18210	[]
18330	19215	[]
19350	20640	[]
20760	22260	[[21705, 21750], [21990, 22080]]
22365	23745	[]
23880	25380	[]
25500	26430	[]
26550	27495	[]
27600	28725	[[27885, 27900], [28620, 28650]]
28890	30315	[]
32190	33120	[]
34440	35715	[]
37380	38535	[[37980, 38205]]
38745	39825	[]
39975	41100	[]
41250	41865	[]
42810	43065	[]
44115	44955	[]
45090	46185	[]
46290	47280	[[46965, 47070]]
47475	47625	[]
